5000,14493
10000,23804
15000,25569
20000,27584
25000,26183
30000,30003
35000,34947
40000,40001
45000,45342
50000,49285
55000,54505
60000,56053
65000,60995
70000,66218
75000,71072
80000,75260
85000,79328
90000,84323
95000,89083
100000,94135
